rule,says,support,confidence,lift
default_image & text_len_low & tweets_per_day_high,non_human,0.06048624098316858,0.8460388639760836,2.925649914876645
default_image & favs_per_day_low & text_len_low,non_human,0.06091370558375635,0.84070796460177,2.90721536539581
default_image & text_n_urls_low & tweets_per_day_high,non_human,0.06134117018434411,0.8397951719092905,2.904058876992308
default_image & favs_per_day_low & tweets_per_day_high,non_human,0.061715201709858405,0.8387799564270153,2.9005482048284534
default_image & location_missing & text_len_low,non_human,0.060860272508682874,0.8387334315169367,2.900387319076029
default_image & location_missing & tweets_per_day_high,non_human,0.06203580016029923,0.8382671480144405,2.898774884532567
default_image & fav_number_low & text_len_low,non_human,0.06091370558375635,0.838235294117647,2.8986647319681746
default_image & text_len_low & text_n_urls_low,non_human,0.06080683943360941,0.8373804267844004,2.8957085527106528
default_image & link_default & tweets_per_day_high,non_human,0.062196099385519635,0.8362068965517241,2.8916504192471386
default_image & sidebar_default & tweets_per_day_high,non_human,0.062196099385519635,0.8362068965517241,2.8916504192471386
default_image & link_default & text_len_low,non_human,0.06102057173390329,0.83601756954612,2.8909957158269837
default_image & text_len_low & timezone_missing,non_human,0.058829815655890995,0.835990888382688,2.8909034508651152
default_image & fav_number_low & tweets_per_day_high,non_human,0.062089233235372694,0.8359712230215828,2.8908354469417814
default_image & sidebar_default & text_len_low,non_human,0.06091370558375635,0.8357771260997067,2.890164248883224
default_image & text_len_low,non_human,0.06102057173390329,0.8354059985369423,2.888880868924404
default_image & tweets_per_day_high,non_human,0.06224953246059311,0.8351254480286738,2.887910709507877
default_image & timezone_missing & tweets_per_day_high,non_human,0.05979161100721347,0.8350746268656717,2.8877349670715162
default_image & desc_len_low & text_len_low,non_human,0.05316590969810313,0.8319397993311036,2.8768945573691065
default_image & desc_missing & text_len_low,non_human,0.053112476623029654,0.8317991631799163,2.876408229658561
default_image & desc_missing & tweets_per_day_high,non_human,0.054448303499866416,0.8311582381729201,2.874191874982668
default_image & desc_len_low & tweets_per_day_high,non_human,0.054448303499866416,0.8304808475957619,2.87184942031683
favs_per_day_low & text_len_low & tweets_per_day_high,non_human,0.06251669783596046,0.8274398868458275,2.8613336072283184
fav_number_low & text_len_low & tweets_per_day_high,non_human,0.0626235639861074,0.8241912798874823,2.85009974188733
default_image & favs_per_day_low & text_n_urls_low,non_human,0.06224953246059311,0.815826330532213,2.8211732771453004
desc_missing & text_len_low & tweets_per_day_high,non_human,0.05370024044883783,0.8117932148626816,2.8072265366140217
default_image & fav_number_low & text_n_urls_low,non_human,0.06278386321132781,0.8097863542384562,2.8002866998471374
desc_missing & favs_per_day_low & text_len_low,non_human,0.054448303499866416,0.8011006289308177,2.770250973843358
favs_per_day_low & location_missing & text_len_low,non_human,0.06363879241250334,0.8009414929388029,2.769700672644068
default_image & location_missing & text_n_urls_low,non_human,0.06294416243654823,0.8008157715839564,2.7692659211370554
favs_per_day_low & text_len_low & timezone_missing,non_human,0.061180870959123695,0.8001397624039134,2.7669282434200366
default_image & favs_per_day_low & location_missing,non_human,0.06460058776382581,0.7996031746031746,2.7650726926641562
desc_missing & fav_number_low & text_len_low,non_human,0.054555169650013356,0.7982799061767005,2.760496756115475
default_image & favs_per_day_low & link_default,non_human,0.0649746192893401,0.7952910398953564,2.7501610886255716
default_image & favs_per_day_low & sidebar_default,non_human,0.06492118621426664,0.7951570680628273,2.749697806503291
default_image & favs_per_day_low & timezone_missing,non_human,0.062302965535666575,0.794819359236537,2.748529990412378
default_image & fav_number_low & location_missing,non_human,0.06518835158963399,0.7942708333333334,2.746633157027593
default_image & fav_number_low & favs_per_day_low,non_human,0.06518835158963399,0.7937540663630449,2.7448461478167747
default_image & text_n_urls_low & timezone_missing,non_human,0.06075340635853593,0.7934403349616189,2.7437612470078894
desc_len_low & favs_per_day_low & text_len_low,non_human,0.0546620358001603,0.7924089852827266,2.7401947818858514
default_image & favs_per_day_low,non_human,0.06524178466470745,0.7923426346528228,2.7399653376806317
default_image & desc_missing & text_n_urls_low,non_human,0.05498263425060112,0.7921478060046188,2.7392916092713304
default_image & link_default & text_n_urls_low,non_human,0.06326476088698904,0.7919732441471571,2.7386879645628315
favs_per_day_low & sidebar_default & text_len_low,non_human,0.06417312316323805,0.7916941331575478,2.737722783082688
default_image & sidebar_default & text_n_urls_low,non_human,0.06310446166176864,0.7915549597855229,2.7372415137446526
default_image & desc_missing & favs_per_day_low,non_human,0.056799358803099116,0.7915115413253909,2.7370913702706376
default_image & desc_len_low & text_n_urls_low,non_human,0.05503606732567459,0.7910906298003073,2.735635834573679
default_image & desc_len_low & favs_per_day_low,non_human,0.056799358803099116,0.7909226190476191,2.735054843953472
favs_per_day_low & timezone_missing & tweet_count_high,non_human,0.05428800427464601,0.7906614785992218,2.734151805614271
default_image & fav_number_low & link_default,non_human,0.0655089500400748,0.7899484536082474,2.731686125143819
default_image & fav_number_low & sidebar_default,non_human,0.06545551696500133,0.789813023855577,2.7312178014517965
default_image & text_n_urls_low,non_human,0.06337162703713599,0.7896138482023968,2.7305290408551097
favs_per_day_low & link_default & text_len_low,non_human,0.06476088698904622,0.7895765472312705,2.7304000520017047
desc_len_low & fav_number_low & text_len_low,non_human,0.05471546887523377,0.7895142636854279,2.7301846720016227
default_image & fav_number_low & timezone_missing,non_human,0.06278386321132781,0.7891202149093351,2.728822029199595
fav_number_low & location_missing & text_len_low,non_human,0.0636922254875768,0.7883597883597884,2.726192431476984
default_image & fav_number_low,non_human,0.06577611541544216,0.7875879718490083,2.723523446628638
default_image & desc_missing & fav_number_low,non_human,0.05728025647876035,0.7865003668378577,2.7197624474077062
default_image & desc_len_low & fav_number_low,non_human,0.05728025647876035,0.7853479853479853,2.7157774474847645
fav_number_low & text_len_low & timezone_missing,non_human,0.06150146940956452,0.7845944103612814,2.713171542851327
default_image & location_missing & sidebar_default,non_human,0.06556238311514828,0.7825255102040817,2.706017169894565
default_image & link_default & location_missing,non_human,0.0655089500400748,0.782386726228462,2.7055372471111725
desc_len_low & text_len_low & tweets_per_day_high,non_human,0.053967405824205186,0.7823392718822619,2.705373147316432
default_image & location_missing & timezone_missing,non_human,0.06289072936147476,0.7815405046480745,2.7026109653526817
fav_number_low & favs_per_day_low & text_len_low,non_human,0.06647074539139727,0.7814070351758794,2.7021494204206546
default_image & location_missing,non_human,0.0658829815655891,0.7813688212927756,2.7020172746663516
fav_number_low & link_default & text_len_low,non_human,0.06486775313919316,0.7807073954983922,2.699730027116114
fav_number_low & sidebar_default & text_len_low,non_human,0.06438685546353193,0.780440414507772,2.6988067918538343
favs_per_day_low & text_len_low & text_n_urls_low,non_human,0.0644402885386054,0.7780645161290323,2.690590801802446
fav_number_low & text_len_low & text_n_urls_low,non_human,0.06454715468875234,0.7778493238892467,2.6898466549496027
default_image & desc_missing & location_missing,non_human,0.057600854929201174,0.7760979121670266,2.6837901748347934
default_image & desc_len_low & location_missing,non_human,0.057600854929201174,0.7760979121670266,2.6837901748347934
favs_per_day_low & text_n_urls_low & tweets_per_day_high,non_human,0.06540208388992787,0.7746835443037975,2.678899211316624
default_image & desc_missing & sidebar_default,non_human,0.057600854929201174,0.7744252873563218,2.6780061442855803
default_image & link_default & timezone_missing,non_human,0.06342506011220946,0.7742987606001304,2.6775686076554766
default_image & sidebar_default & timezone_missing,non_human,0.06342506011220946,0.7742987606001304,2.6775686076554766
default_image & desc_missing & link_default,non_human,0.05754742185412771,0.7742631200575125,2.6774453606571225
text_len_low & timezone_missing & tweets_per_day_high,non_human,0.060058776382580815,0.7741046831955922,2.6768974770889704
default_image & desc_missing & timezone_missing,non_human,0.055463531926262355,0.774049217002237,2.6767056718767304
default_image & desc_len_low & link_default,non_human,0.057707721079348115,0.7736389684813754,2.675287009447328
default_image & desc_len_low & sidebar_default,non_human,0.057707721079348115,0.7736389684813754,2.675287009447328
default_image & desc_len_low & timezone_missing,non_human,0.05551696500133583,0.7730654761904763,2.6733038408914935
default_image & desc_missing,non_human,0.05786802030456853,0.7730192719486082,2.6731440640277535
default_image & desc_len_low & desc_missing,non_human,0.05786802030456853,0.7730192719486082,2.6731440640277535
default_image & desc_len_low,non_human,0.05802831952978894,0.7718550106609807,2.6691179830968688
default_image & timezone_missing,non_human,0.06358535933742987,0.7717250324254216,2.6686685110572363
default_image & link_default,non_human,0.06657761154154422,0.7705627705627706,2.664649344250231
default_image & sidebar_default,non_human,0.06647074539139727,0.7702786377708979,2.6636667970957784
default_image & link_default & sidebar_default,non_human,0.06636387924125034,0.7699938003719777,2.6626818133705767
location_missing & text_len_low & tweets_per_day_high,non_human,0.06192893401015229,0.7680583167660702,2.655988802342388
fav_number_low & timezone_missing & tweet_count_high,non_human,0.056371894202511354,0.7672727272727273,2.653272189746691
default_image,non_human,0.06705850921720545,0.7671149144254279,2.65272646405615
favs_per_day_low & timezone_missing & tweets_per_day_high,non_human,0.0729361474752872,0.7642777155655096,2.642915271028919
favs_per_day_low & location_missing & tweet_count_high,non_human,0.058829815655890995,0.7635228848821082,2.6403050241257673
favs_per_day_low & text_len_low,non_human,0.06689820999198504,0.7629494210847044,2.6383219541020404
fav_number_low & text_len_low,non_human,0.06705850921720545,0.7629179331306991,2.6382130669883654
favs_per_day_low & location_missing & tweets_per_day_high,non_human,0.0756612343040342,0.7535923363491218,2.6059646294851837
sidebar_default & text_len_low & tweets_per_day_high,non_human,0.062409831685813516,0.7520927237604637,2.600778884918159
